,Temperature,Latitude,Longitude,Humidity,Wind Speed,Cloud,Country,Date,City
83,62.83,37.1041,-113.5841,22,1.01,1,US,1637192404,saint george
84,42.98,50.6996,-127.4199,75,13.8,90,CA,1637192415,port hardy
85,59.43,32.3502,-85.1999,80,0.0,1,US,1637192415,russell
86,58.6,38.421,-121.4238,78,1.01,20,US,1637192416,laguna
87,50.4,35.7333,140.8333,55,9.26,100,JP,1637192416,hasaki
88,59.11,-45.4167,167.7167,50,4.94,46,NZ,1637192417,te anau
89,72.03,-9.8756,-56.0861,98,2.93,100,BR,1637192417,alta floresta
90,81.93,7.4525,126.5842,76,1.39,92,PH,1637192417,baculin
91,80.62,-16.4833,-151.75,78,18.1,100,PF,1637192365,faanui
92,-0.35,65.9811,60.3094,100,3.49,99,RU,1637192417,verkhnyaya inta
93,68.74,-0.7393,-90.3518,80,8.95,66,EC,1637192418,puerto ayora
94,78.15,12.3536,-4.7761,24,9.22,67,ML,1637192418,yorosso
95,47.37,43.3236,145.575,62,13.51,57,JP,1637192418,nemuro
96,42.69,57.0531,-135.33,75,14.97,90,US,1637192419,sitka
97,75.45,-20.3428,57.7575,78,9.22,40,MU,1637192419,bambous virieux
98,37.62,46.5333,-87.6335,59,11.41,85,US,1637192193,marquette
99,3.2,69.4541,-133.0374,92,17.27,75,CA,1637192419,tuktoyaktuk
100,84.22,12.5847,-81.7006,74,11.5,75,CO,1637192190,san andres
101,36.14,64.8945,-23.7142,59,12.84,100,IS,1637192420,olafsvik
102,42.35,67.667,12.6934,69,36.35,86,NO,1637192420,sorland
103,85.3,-6.6024,147.8681,65,1.79,50,PG,1637192420,finschhafen
104,90.21,-12.2333,136.7667,58,10.36,100,AU,1637192420,nhulunbuy
105,9.32,65.441,52.1498,89,3.74,100,RU,1637192421,ust-tsilma
106,43.11,53.4208,19.5952,84,15.03,100,PL,1637192421,nowe miasto lubawskie
107,67.93,9.9167,8.9,34,4.09,7,NG,1637192421,jos
108,72.75,6.4667,12.6333,67,1.12,79,CM,1637192421,tibati
